Français,Anglais
la jupe,the skirt
la robe,the dress
la ceinture,the belt
la chemise,the shirt
le manteau,the coat
les chaussures,shoes
les chaussettes,socks
les collants,tights
les lunettes (de soleil),(sun)glasses
le t-shirt,the t-shirt
le jean,jeans
le pantalon,trousers
le short,shorts
les baskets,trainers
les talons,heels
le gilet,the cardigan
le pull à capuche,the hoodie
les accessoires,the accessories
les boucles d'oreille,earrings
la bague,the rings
le collier,the necklace
le bracelet,the bracelet
les bijoux,jewelry
le leggin,the leggin
le chapeau,the hat
la casquette,the capo
"""l'écharpe""",the scarf
les gants,gloves
le bonnet,the woollen hat
le débardeur,the tank top
le jogging,sweat panys
la mini-jupe,the miniskirt
les sous-vêtements,the underwear
le maillot de bain,the swimsuit
la tunique,the tunic
une veste,a jacket
un costume,a suit (for men)
une cravatte,a tie
un noeud papillon,a bow tie
des sandales,sandals
des bottes,boots
des tongs,flip-flops
une montre,a watch
un sac à main,a handbag
un tailleur,a suit (for women)
en or,(made of) gold
en argent,(made of) silver
en laine,woollen
en coton,cotton
en velours,velvet
en jean,denim
en lin,linen
en soie,silk
à pois,with polka dots
à rayures,with stripes/stripy
à carreaux,with checkers/checkered
la haute couture,high fashion
le prêt-à-porter,ready-to-wear fashion
dernier cri,latest fashion
la collection printemps-été,the spring-summer collection
la collection automne-hiver,the autumn-winter collection
de bonne qualité,good quality
à la mode,fashionable
un mannequin,a model
un défilé,a fashion show
le pull,the jumper
la mode,fashion
