Français,Anglais
le dynamique familial,family dynamics
l'aîné(e),oldest
le / la cadet(te),youngest
l'enfant du milieu,the middle child
l'enfant favorit,the favourite child
s'entendre bien,to get on well
s'entendre mal,to get along badly
ne s'entendre pas du tout,to not get along at all
se disputer,to argue
une famille nombreuse,a big family
souvent la guerre,often war/conflict
toujours,always
souvent,often
tout le monde,everyone
avoir un bon rapport avec,to have a good relationship with
avoir les mêmes gouts,to have the same tastes (interests)
partages les mêmes passe-temps,to hare the same hobbies
tous les deux,both (of us/them)
