Français,Anglais
une maison,a house
une maison jumelée,a semi-detached house
une maison individuelle / un pavillon,a detached house
une maison de plain-pied,a single story house / a bungalow
un studio,a studio (apartment)
un appartement,an apartment
un immeuble,a flat
Une HLM (habitiation à loyer modéré),an HLM (low-rent housing) / a council house / a social house
le logement,housing
les endroits,the places
la banlieue,the suburbs
le lotissement,the estate
le centre-ville,the city center
l'arrondissement,the district
la campagne,the countryside
le village,the village
la cité,the groups of flats
les pièces,the rooms
l'entrée,the porch
la cuisine,the kitchen
la salle à manger,the dining room
la salle de bains,the bathroom
la salle de séjour / le salon,the living room
le bureau,the office
une chambre,a bedroom
la buanderie,the laundry room / the utility room
le grenier,the attic
la cave,the cellar
le sous-sol,the basement
le jardin,the garden
la terrasse,the terrace / the decking
le balcon,the balcony
les meubles,the furniture
le canapé,the couch
la table,the table
la chaise,the chair
le fauteuil,the armchair
le lit,the bed
la table de chevet,the bedside table
l'armorie,the wardrobe
les étagères,the shelves
la commode,the dresser
le tapis,the carpet / the rug
le placard,the closet / the cupboard / the press
le lave-vaisselle,the dishwasher
le micro-onde,the microwave
une douche,a shower
une maison ancienne,an old house
se situer,to be situtated
se trouver,to be located
très ensolillé,very bright
profiter de,to benefit from
la vue,the view
idéal (adjective),ideal
siècle,century
apprécier,appreciate
manger dehors,to eat outside
autour,around
un fason,a way/one way
une manière,one way
