Question,Answer
Comment vous appelez-vous ?,Je m'appelle Mathew
Vous avez quel âge ?,J'ai dix-sept ans
Décrivez-moi votre personnalité…,"Je suis mûr, bavard et ennuyeux"
Est-ce que vous avez des frères et des sœurs ?,"Oui, j'ai quatre frères petits et une soeur petite"
Parlez-moi de vos frères / sœurs…,"Mon soeur s'appelle Anú et mes freres s'appelle Bramble, Brer, Rua et Macha. "
Avez-vous des bons rapports avec eux ?,J'ai bon rapports avec mon frères et soeurs parce que nous avons les mêmes hobbies
Où habitez-vous ?,"J'habite à Crumlin, en Dublin, en Irlande"
Dans quel type de maison habitez-vous ?,Ma maison est jumelée
Quelle est votre pièce préférée ?,Ma piece préférée c'est mon bureau. J'adore travailler dans mon bureau parce qu'il a mon ordinateur
Quels sont les installations dans votre quartier ?,"Mon quartier a une boulangerie, beaucoup de restaurants et une piscine"
Aimez-vous votre quartier ? Pourquoi ?,Je n'aime pas mon quartier parce qu'il y a des déchets probleme et une drouge probleme
