Français,Anglais
le père,father
la mère,mother
les parents,parents
le frère,brother
la sœur,sister
les frangins,siblings (all male or mixed (male and female))
les franines,siblings (all female)
le grand-père,grandfather
le grand-mère,grandmother
les grand-parents,grandparents
le beau-père,stepfather
la belle-mère,stepmother
les beaux-parents,stepparents
le jumeau,twin (male)
la jumelle,twin (female)
les jumeaux,twins (both male or mixed (male and female))
les jumelles,twins (both female)
le cousin,cousin (male)
la cousine,cousin (female)
les cousins,cousins (all male or mixed (male and female))
les cousines,cousins (all female)
le fils,son
la fille,daughter
les enfants,children
le enfant,child
le petit-fils,grandson
la petite-fille,granddaughter
les petits-enfants,grandchildren
le demi-frère,half brother
la demi-sœur,half sister
le oncle,uncle
la tante,aunt
le neveu,nephew
la nièce,niece
la famille,family
le parrain,godfather
la marraine,godmother
