Français,Anglais
Des phrases introductrices,Introduction Phrases
Cher journal,Dear diary
Qu’est-ce que _,How I am _
"Quelle journée / soirée fatiguante (épuisante, horrible, formidable, magnifique)","What a tiring day / evening (exhausting, horrible, great, beautiful)"
Je suis déprimé(e)/fatigué(e)/ravi(e),I am depressed / tired / happy
Vous ne le croira pas!,You won’t believe it!
Je viens de passer la meilleure / pire - journée / soirée de ma vie,I just had the best / worst - day / evening of my life
Je viens de _,I have just _
Tout s’est bien passé,All went well
Mais quand même,but despite that
Je suis crevé / épuisé,I’m tired / exhausted
Passer,"to sit (an examen) / to spend (time) / "
dépenser,to spend money
Qui a dit que la vie est belle?,Who said life is good?
Qui a dit que l’argent n’apporte pas du bonheur?,Who said that money doesn’t bring happiness?
Qu’est-ce que je suis fatigué(e),"Oh, how I am tried!"
"Comme il arrive les choses _ (bizarres, géniale, bêtes,) dans la vie","Who things are _ (weird, wonderful, awful) in life"
Qu’est-ce que c’est déprimant,"Oh, how it is sad!"
"Quelle journée _ (horrible, térrible, formidable, moche, épouvantable)","What a _ (horrible, terrible, wonderful, ugly, pitiful) day"
Qu’est-ce qu’ils sont énervants,"Oh, how they are annoying (use for parents/family/teacher or anyone else)"
Aujourd’hui j’ai passé la meilleure / pire journée / soirée de ma vie,"Today, I spent the best/worst day/evening of my life"
Quel flammard / bosseur!,What a tosser (waster) / swat!
Aujourd’hui ça a mal débuté,Today I got off to a bad start
J’ai du mal à croire que c’est déja le weekend / lundi,I can’t believe that it’s already the weekend / Monday
J’ai du mal à croire ce qui s’est passé devant mex yeux aujourd’hui,I can’t believe what happened before my eyes today
Vous ne la croira pas!,You won’t believe it
Aujourd’hui quelque chose d’amusant s’est passée,Today something fun happened
Acheter,To buy
Je viens de,I have just
Avec mes amis,With my friends
Je vais sortir (ce soir),I am going to go out (tonight)
Une nouvelle robe,A new dress
Demain soir,Tomorrow night
Être à la mode,To be in fashion
Voila c’est tout pour aujourd’hui,That’s all for today
Qu’est-ce que je suis fatigué(e),I am very tired (Formal French) (Direct Translation: How I am tired)
Je viens de passer une très belle journée,I have just spent a lovely day
Il faut que j’aille au lit,I must go to bed
