Français,Anglais
mon quartier,my area
démanger,to move house
avoir de la chance,to feel lucky
à portée de main,to have things close by
les transports en commun,public transport
bien deservi,well-serviced
les gens,the people
les avantages,advantages
les inconvenients,"disadvantages, inconveniences, drawbacks"
la circulation,(the) traffic
un bouchon,"a cork, a traffic jam, a plug (a bistro in Leon dialect)"
s'inscrire,to enrol
des lusophones,Portuguese speakers
les infrastructures,infrastructure
une boîte,a club
une boîte de nuit,a nightclub
les habitants,the inhabitants
un terrain de tennis,a tennis court
un cinéma,a cinema
les voisins,the neighbours
une piscine,a swimming pool
une bibliothèque,library
les jeunes du quartier,neighborhood youth
un stade,a stadium
un centre commercial,a mall
les espaces verts,the green spaces
une salle de sport/une salle de musculation,a gym
un jardin public,a public garden
les équipements sportifs et culturels,the sports and cultural facilities
un théâtre,a theatre
les activités sportives,the sports activities
la pollution,Pollution
les déchets,waste
le crime,the crime
les cambriolages,the burglaries
les vols,the flights
la délinquance,delinquency
les graffitis,graffiti
l'alcool,the alcohol
la drogue,Drugs
les agressions,the assaults
dans mon quartier,in my area
